Cell Ontology ID, Cell Ontology Label, Cytokine Ontology Label, Actor, Action Sentiment, NumPapers, Enrichment Score
CL_0000084,T cell,TGFB1,cytokine,Positive,13,0.17
CL_0000576,monocyte,IL6,cytokine,Unknown,12,1.05
CL_0000084,T cell,CXCL12,cytokine,Positive,12,0.66
CL_0000624,"CD4-positive, alpha-beta T cell",IL7,cytokine,Unknown,12,6.71
CL_0000576,monocyte,IL1,cytokine,Positive,12,0.51
CL_0000097,mast cell,IL33,cell,Positive,12,19
CL_0000127,astrocyte,CCL2,cell,Positive,12,5.86
CL_0000236,B cell,IL21,cytokine,Unknown,12,9.07
CL_0000546,T-helper 2 cell,IFNG,cell,Positive,12,0.99
CL_0000084,T cell,IL7,cytokine,Negative,12,3.22
CL_0000540,neuron,TNF,cytokine,Unknown,12,2.45
CL_0000775,neutrophil,IL10,cytokine,Unknown,12,1.13
CL_0000624,"CD4-positive, alpha-beta T cell",IL12,cytokine,Unknown,12,4.27
CL_0000540,neuron,IL6,cytokine,Unknown,12,4.15
CL_0000625,"CD8-positive, alpha-beta T cell",TNFSF9,cytokine,Unknown,12,21.55
CL_0000057,fibroblast,CLCF1,cell,Positive,12,95.43
CL_0000738,leukocyte,IFNG,cytokine,Positive,12,0.24
CL_0000814,mature NK T cell,IFNG,cell,Positive,12,7.2
CL_0000233,platelet,EPO,cytokine,Positive,12,4.73
CL_0000576,monocyte,CSF1,cytokine,Unknown,12,3.55
CL_0000625,"CD8-positive, alpha-beta T cell",IL10,cytokine,Positive,12,0.59
CL_0000898,naive T cell,IL2,cell,Positive,12,7.46
CL_0000084,T cell,IFNB1,cytokine,Negative,12,6.37
CL_0000771,eosinophil,IL4,cytokine,Unknown,12,2.71
CL_0000312,keratinocyte,TNF,cytokine,Positive,12,0.63
CL_0000235,macrophage,IFNB1,cytokine,Positive,12,1.5
CL_0000545,T-helper 1 cell,IL10,cytokine,Negative,12,9.53
CL_0000624,"CD4-positive, alpha-beta T cell",IL17A,cell,Positive,12,5.92
CL_0000138,chondrocyte,IL1B,cytokine,Negative,12,30.48
CL_0000775,neutrophil,IL1,cytokine,Unknown,12,2.19
CL_0000542,lymphocyte,IL7,cytokine,Positive,12,1.95
CL_0000775,neutrophil,IL10,cell,Positive,12,0.48
CL_0000236,B cell,IL5,cell,Positive,12,2.11
